嗄,haa2
嗄,saa3
嗄,aai3
嗄,ngaai3
喍,caai4
嗛,haam4
嗛,ham4
嗛,him1
嗛,him2
嗛,hip3
嗂,jiu4
嘐,gaau1
嘐,haau1
嘈,cou4
嘗,soeng4
嗹,lin4
嗿,taam2
嘜,mak1
嘧,mat6
嘀,dik1
嘀,dik6
嘕,hin1
嘛,maa3
嘛,maa4
嘍,lau1
嘍,lau4
嘖,zaak3
嘖,zaak6
嘖,zik1
嘆,taan1
嘆,taan3
嘝,huk6
嘒,wai3
嘄,giu3
嘄,hiu1
嘄,tou2
嗼,mak6
嗼,mok6
嘁,ci1
嘓,gwok3
嗺,ceoi1
嘌,piu1
嘌,piu3
嘔,au1
嘔,au2
嘔,ngau1
嘔,ngau2
嘔,heoi1
嘂,giu3
嗷,ngou4
嘉,gaa1
嘎,gaa1
