唴,geung6
啈,hang1
唌,yin4
啋,choi1
唰,chaat3
唰,syut3
啵,bo1
啐,cheui3
啐,seui6
啤,be1
啤,pei4
唵,am2
唵,ngam2
唱,cheung3
啞,a1
啞,a2
啞,nga2
啞,ak1
啞,ngak1
喕,min5
喋,jaap6
喋,dip6
喀,ka1
喀,ka3
喀,haak1
喀,haak3
啿,daam6
啿,taam5
喢,saap3
喢,sip3
喈,gaai1
喣,heui2
喣,yu3
喊,haam3
喜,hei2
喜,chi3
喵,miu1
喉,hau4
喃,naam4
啽,ngaam4
啽,am2
啽,ngam4
喥,ja3
喥,dok6
喎,kwa1
喎,wa1
喎,wo3
喎,wo5
喦,ngap6
喦,yip6
喦,nip6
嗖,sau1
善,sin6
喌,jau1
喌,juk1
喡,wai4
喡,wai6
啾,jau1
單,daan1
單,sim4
單,sin4
單,sin6
喚,wun6
喤,waang4
喤,wong4
啻,chi3
喂,wai2
喂,wai3
喂,wai6
喟,faai3
喟,wai2
喟,wai3
喟,wai6
喳,cha1
喳,ja1
唾,to3
唾,teu3
唾,teu5
唾,tou3
啼,tai4
喒,ja1
喪,song1
喪,song3
喙,fui3
喔,ak1
喔,ngak1
喔,o1
喔,ok1
喘,chyun2
喝,yit3
喝,hot3
喨,leung6
啷,long1
啷,long4
喁,yung4
喁,yu4
喭,yin6
喭,ngon6
喓,yiu1
喲,yo1
喻,yu6
喬,kiu4
喧,hyun1
喑,yam1
喑,ngam6
喱,lei1
喏,ye5
喏,nok6
喇,la1
喇,la3
喫,yaak3
喫,hat1
喫,hek3
嗣,ji6
嗝,gaak3
嗢,wat1
嗤,chi1
嗊,gung3
嗊,hung2
嗙,paang1
嗙,pong3
嗈,yung1
嗕,yuk6
嗀,fo3
嗀,hok3
嗅,chau3
嗅,hung3
嗆,cheung1
嗆,cheung3
嗒,daap1
嗒,daap3
嗒,taap3
嗒,daat6
嗉,sou3
嗓,song1
嗓,song2
嗍,sok3
嗲,de2
嗩,so2
嗦,so1
嗦,sok3
嗟,je1
嗥,hou4
嘟,dou1
嗇,sik1
嗚,wu1
嗜,si3
喿,chou3
嗔,chan1
嗔,jan1
嗑,gaap3
嗑,haap3
嗑,hap6
嗑,ngap1
嗋,hip3
嗋,hip6
嗎,ma1
嗎,ma3
嗎,ma4
嗎,ma5
嗯,ng2
嗯,ng6
嗃,haau1
嗃,haau3
嗃,hok3
嗃,hok6
嗏,cha1
嗐,haai6
嗐,hoi6
嗌,aai3
嗌,ngaai3
嗌,yik1
嗡,yung1
嗨,haai1
嗨,hei1
嗨,hoi1
嗄,a2
嗄,ha2
嗄,sa3
嗄,aai3
嗄,ngaai3
喍,chaai4
嗛,haam4
嗛,ham4
嗛,him1
嗛,him2
嗛,hip3
嗂,yiu4
嘐,gaau1
嘐,haau1
嘈,chou4
嘗,seung4
嗹,lin4
嗿,taam2
嘜,mak1
嘧,mat6
嘀,dik1
嘀,dik6
嘕,hin1
嘛,ma3
嘛,ma4
嘍,lau1
嘍,lau4
嘖,jaak3
嘖,jaak6
嘖,jik1
嘆,taan1
嘆,taan3
嘝,huk6
嘒,wai3
嘄,giu3
嘄,hiu1
嘄,tou2
嗼,mak6
嗼,mok6
嘁,chi1
嘓,gwok3
嗺,cheui1
嘌,piu1
嘌,piu3
嘔,au1
嘔,au2
嘔,ngau1
嘔,ngau2
嘔,heui1
嘂,giu3
嗷,ngou4
嘉,ga1
嘎,ga1
嘎,ga2
嘎,ga4
嘎,gat1
嗶,bat1
嘏,ga2
嘏,gu2
嗽,sau3
嗽,sok3
嗾,sau2
嗾,juk6
嘬,chaai3
嘬,cheui3
嘬,jyut3
噈,jaap3
噈,hap6
噈,juk1
嘴,jeui2
噆,jaam1
噆,jaap3
噆,cham2
噆,jam2
